o-o,o-j1,o-j5
2015 Hyundai Elite i20 Asta 1.2 (O) [2019-2020],"85,719 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.46 Lakh
2018 Renault Kwid RXL [2015-2019],"44,033 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.33 Lakh
2024 Toyota Urban Cruiser Taisor V Petrol 1.0L Turbo Automatic (TC),"16,991 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 9.49 Lakh
2016 Maruti Suzuki Swift VXi,"48,870 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.47 Lakh
2021 Hyundai Elite i20 Asta (O) 1.2 MT [2020-2023],"26,318 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.08 Lakh
2018 Ford Ecosport Titanium + 1.5L Ti-VCT AT,"84,186 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.69 Lakh
2023 Tata Punch Adventure Rhythm iCNG,"75,235 km  |  CNG  |  Manimajra, Chandigarh",Rs. 6.17 Lakh
2023 Tata Punch Pure iCNG [2023-2024],"30,704 km  |  CNG  |  Manimajra, Chandigarh",Rs. 5.56 Lakh
2022 Skoda Kushaq Ambition 1.0L TSI AT,"26,788 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.82 Lakh
2019 Volkswagen Polo Comfortline 1.0L (P),"43,811 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.6 Lakh
2021 Volkswagen Polo Comfortline 1.0L MPI,"46,400 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.7 Lakh
2016 Maruti Suzuki Baleno Delta,"41,999 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.12 Lakh
2023 Tata Punch Pure iCNG [2023-2024],"30,704 km  |  CNG  |  Manimajra, Chandigarh",Rs. 5.56 Lakh
2023 Tata Punch Adventure Rhythm iCNG,"75,235 km  |  CNG  |  Manimajra, Chandigarh",Rs. 6.17 Lakh
2022 Hyundai Alcazar Platinum 7 STR 2.0 Petrol,"21,096 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 14.77 Lakh
2022 Mahindra Scorpio Z8 L Petrol AT 6 STR [2023-2024],"31,052 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 18.95 Lakh
2015 Honda Brio S MT,"49,410 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.84 Lakh
2021 Hyundai Santro Sportz CNG [2018-2020],"43,829 km  |  CNG  |  Manimajra, Chandigarh",Rs. 4.2 Lakh
2015 Honda Brio VX MT,"1,02,672 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.21 Lakh
2021 Maruti Suzuki S-Presso VXi Plus,"78,663 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.67 Lakh
2023 Kia Sonet HTX 1.0 iMT [2020-2021],"16,863 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 8.95 Lakh
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,"31,398 km  |  CNG  |  Manimajra, Chandigarh",Rs. 5.7 Lakh
2024 Maruti Suzuki Alto K10 VXi Plus (O),"20,131 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.39 Lakh
2016 Mercedes-Benz E-Class E 250 CDI Avantgarde,"75,000 km  |  Diesel  |  SECTOR- 15, Chandigarh",Rs. 15 Lakh
2021 Tata Nexon XZ Plus (O),"1,15,505 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.32 Lakh
2021 Tata Altroz XZ Plus Petrol [2021-2023],"85,353 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.21 Lakh
2016 Maruti Suzuki Baleno Zeta,"59,628 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.46 Lakh
2017 Maruti Suzuki DZire ZDi Plus,"43,269 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 4.82 Lakh
2023 Kia Seltos HTK Plus 1.5 iMT,"28,780 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.4 Lakh
2015 Hyundai Eon Sportz,"25,580 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.5 Lakh
2022 Hyundai Verna SX (O) 1.5 CRDi AT,"1,00,274 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 9.85 Lakh
2018 Hyundai Eon Magna +,"25,506 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.01 Lakh
2022 Tata Punch Accomplished MT [2021-2023],"26,107 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.76 Lakh
2023 Toyota Glanza V AMT [2022-2023],"33,336 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.68 Lakh
2016 Honda Amaze 1.2 S i-VTEC,"1,08,110 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.39 Lakh
2021 Hyundai Verna SX (O) 1.0 Turbo DCT,"25,868 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.14 Lakh
2022 Volkswagen Virtus Highline 1.0 TSI AT,"55,325 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.09 Lakh
2019 Kia Seltos GTX Plus 1.4 [2020-2021],"70,310 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.07 Lakh
2014 Maruti Suzuki Celerio VXi AMT,"60,021 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.98 Lakh
2012 Honda Brio S MT,"74,228 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.32 Lakh
2022 Skoda Kushaq Ambition 1.0L TSI AT,"25,732 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.98 Lakh
2023 Maruti Suzuki Eeco 5 STR AC (O) CNG,"20,014 km  |  CNG  |  Manimajra, Chandigarh",Rs. 5.32 Lakh
2015 Hyundai Verna 1.6 VTVT SX,"62,452 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.74 Lakh
2023 Skoda Kushaq Ambition 1.0L TSI AT,"21,903 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.59 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"33,375 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 12.23 Lakh
2024 Renault Kwid RXL (O) 1.0,"26,729 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.98 Lakh
2020 Toyota Glanza G,"42,751 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.88 Lakh
2016 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"89,805 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.23 Lakh
2020 Ford Ecosport Titanium + 1.5L Ti-VCT AT,"54,728 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.53 Lakh
2017 Hyundai Eon Magna +,"51,195 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.8 Lakh
2015 Honda Jazz V Petrol,"79,977 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.44 Lakh
2020 Kia Seltos GTX Plus 1.4 DCT,"68,671 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.6 Lakh
2023 Kia Carens Prestige Plus (O) 1.5 Turbo Petrol DCT 7 STR,"45,566 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.08 Lakh
2021 Skoda Kushaq Style 1.0L TSI AT,"36,177 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 9.98 Lakh
2024 Tata Punch Adventure MT [2021-2023],"11,107 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.11 Lakh
2024 Mahindra XUV300 AX7L 1.2 Petrol AT,"16,175 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 13.59 Lakh
2022 Kia Sonet GTX Plus 1.5 AT Dual Tone,"45,579 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 9.79 Lakh
2021 Hyundai Alcazar Signature (O) 6 STR 2.0 Petrol AT,"66,164 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 13.45 Lakh
2015 Hyundai Eon Sportz,"25,580 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.5 Lakh
2022 Hyundai Verna SX (O) 1.5 CRDi AT,"1,00,274 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 9.85 Lakh
2018 Hyundai Eon Magna +,"25,506 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.01 Lakh
2022 Tata Punch Accomplished MT [2021-2023],"26,107 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.76 Lakh
2023 Toyota Glanza V AMT [2022-2023],"33,336 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.68 Lakh
2016 Honda Amaze 1.2 S i-VTEC,"1,08,110 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.39 Lakh
2021 Hyundai Verna SX (O) 1.0 Turbo DCT,"25,868 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.14 Lakh
2022 Volkswagen Virtus Highline 1.0 TSI AT,"55,325 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.09 Lakh
2019 Kia Seltos GTX Plus 1.4 [2020-2021],"70,310 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.07 Lakh
2014 Maruti Suzuki Celerio VXi AMT,"60,021 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.98 Lakh
2012 Honda Brio S MT,"74,228 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.32 Lakh
2022 Skoda Kushaq Ambition 1.0L TSI AT,"25,732 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.98 Lakh
2023 Maruti Suzuki Eeco 5 STR AC (O) CNG,"20,014 km  |  CNG  |  Manimajra, Chandigarh",Rs. 5.32 Lakh
2021 Honda Amaze 1.2 VX i-VTEC,"74,368 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.43 Lakh
2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],"70,157 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.72 Lakh
2019 Tata Harrier XZ [2019-2020],"76,247 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 9.49 Lakh
2022 Honda WR-V VX MT Petrol,"26,078 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.79 Lakh
2018 Tata Tiago Revotron XM [2016-2019],"44,704 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.63 Lakh
2015 Hyundai Elite i20 Magna 1.2,"53,536 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.04 Lakh
2015 Hyundai Elite i20 Magna 1.2,"57,918 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.08 Lakh
2021 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"15,244 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.23 Lakh
2022 Maruti Suzuki Vitara Brezza ZXi Plus,"72,610 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 8.6 Lakh
2013 Ford Ecosport Titanium 1.0 Ecoboost (Opt),"70,324 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.01 Lakh
2022 Honda Jazz ZX CVT,"25,615 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.1 Lakh
2021 Skoda Rapid Style AT,"66,647 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.68 Lakh
2012 Honda Brio S(O)MT,"40,747 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.33 Lakh
2019 Maruti Suzuki Ciaz Delta 1.5,"21,136 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.59 Lakh
2016 Hyundai Elite i20 Sportz 1.2 [2016-2017],"63,262 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.63 Lakh
2024 Tata Curvv ICE Accomplished S 1.2 Revotron Petrol 6MT [2024-2025],"5,663 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 13.78 Lakh
2012 Skoda Rapid 1.5 TDI CR Elegance,"95,822 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 2.79 Lakh
2022 Kia Seltos HTX 1.5 [2020-2021],"62,210 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.1 Lakh
2015 Toyota Innova 2.5 VX 8 STR BS-III,"91,014 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.69 Lakh
2020 Kia Seltos HTX Plus 1.5 Diesel [2020-2021],"82,085 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 10.74 Lakh
2022 Hyundai Venue SX Plus 1.0 Turbo DCT,"41,656 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 8.79 Lakh
2017 Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],"95,726 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.93 Lakh
2021 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"36,594 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 8.75 Lakh
2022 Hyundai Creta SX (O) 1.5 Diesel [2020-2022],"38,399 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 15.18 Lakh
2015 Hyundai Verna 1.6 VTVT SX,"62,452 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.74 Lakh
2023 Skoda Kushaq Ambition 1.0L TSI AT,"21,903 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.59 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"33,375 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 12.23 Lakh
2024 Renault Kwid RXL (O) 1.0,"26,729 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.98 Lakh
2020 Toyota Glanza G,"42,751 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.88 Lakh
2016 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"89,805 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.23 Lakh
2020 Ford Ecosport Titanium + 1.5L Ti-VCT AT,"54,728 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.53 Lakh
2017 Hyundai Eon Magna +,"51,195 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.8 Lakh
2015 Honda Jazz V Petrol,"79,977 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.44 Lakh
2020 Kia Seltos GTX Plus 1.4 DCT,"68,671 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.6 Lakh
2023 Kia Carens Prestige Plus (O) 1.5 Turbo Petrol DCT 7 STR,"45,566 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 11.08 Lakh
2024 Renault Kwid RXL (O) 1.0,"26,729 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.98 Lakh
2021 Honda Amaze 1.2 VX i-VTEC,"74,368 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.43 Lakh
2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],"70,157 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.72 Lakh
2019 Tata Harrier XZ [2019-2020],"76,247 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 9.49 Lakh
2022 Honda WR-V VX MT Petrol,"26,078 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.79 Lakh
2018 Tata Tiago Revotron XM [2016-2019],"44,704 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.63 Lakh
2015 Hyundai Elite i20 Magna 1.2,"53,536 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.04 Lakh
2015 Hyundai Elite i20 Magna 1.2,"57,918 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.08 Lakh
2021 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"15,244 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 5.23 Lakh
2022 Maruti Suzuki Vitara Brezza ZXi Plus,"72,610 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 8.6 Lakh
2013 Ford Ecosport Titanium 1.0 Ecoboost (Opt),"70,324 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 3.01 Lakh
2022 Honda Jazz ZX CVT,"25,615 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.1 Lakh
2021 Skoda Rapid Style AT,"66,647 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 7.68 Lakh
2012 Honda Brio S(O)MT,"40,747 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.33 Lakh
2019 Maruti Suzuki Ciaz Delta 1.5,"21,136 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 6.59 Lakh
2016 Hyundai Elite i20 Sportz 1.2 [2016-2017],"63,262 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.63 Lakh
2017 Audi A3 35 TFSI Technology,"68,000 km  |  Petrol  |  Sector 55, Chandigarh",Rs. 12.75 Lakh
2014 Toyota Corolla Altis G,"1,00,000 km  |  Diesel  |  Chandigarh",Rs. 5.5 Lakh
2015 Ford Ecosport Trend 1.5 Ti-VCT,"78,100 km  |  Petrol  |  SECTOR- 51, Chandigarh",Rs. 3.5 Lakh
2023 Honda City ZX Petrol CVT [2023-2025],"46,000 km  |  Petrol  |  SECTOR- 27, Chandigarh",Rs. 11 Lakh
2016 Land Rover Discovery Sport HSE 7-Seater,"98,500 km  |  Diesel  |  Chandigarh",Rs. 17.5 Lakh
2019 Volkswagen Ameo Comfortline 1.0L (P),"33,661 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.37 Lakh
2017 Renault Duster 85 PS RXZ 4X2 MT Diesel (Opt),"1,00,000 km  |  Diesel  |  Sector 48, Chandigarh",Rs. 5.5 Lakh
2022 Jeep Cherokee Limited (O) 4x4 AT,"55,000 km  |  Petrol  |  Chandigarh",Rs. 45 Lakh
2022 Mercedes-Benz E-Class E 220d Exclusive [2021-2023],"11,000 km  |  Diesel  |  Chandigarh",Rs. 58 Lakh
2021 Maruti Suzuki Vitara Brezza ZXi,"22,000 km  |  Petrol  |  Chandigarh",Rs. 8.3 Lakh
2024 BYD Atto 3 Dynamic [2024-2025],"13,000 km  |  Electric  |  Phase-1, Chandigarh",Rs. 23 Lakh
2015 Skoda Rapid 1.5 TDI CR Style Plus,"1,60,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 4.5 Lakh
2015 Honda Jazz V Diesel,"1,63,000 km  |  Diesel  |  SECTOR- 49, Chandigarh",Rs. 4.5 Lakh
2013 Audi A6 2.0 TDI Premium,"94,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.75 Lakh
2017 Land Rover Discovery Sport SE,"2,00,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.5 Lakh
2007 Honda City GXi,"41,612 km  |  Petrol  |  Chandigarh",Rs. 3.5 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT,"30,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 11.95 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT,"14,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 13.75 Lakh
2024 Mahindra Thar LX Hard Top Petrol AT,"11,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 13.95 Lakh
2020 Honda City V Petrol,"46,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 7.9 Lakh
2011 Honda City 1.5 V MT,"70,000 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.85 Lakh
2021 Hyundai Verna SX (O) 1.5 VTVT IVT,"23,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 12.29 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"28,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 12.95 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"55,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 42 Lakh
2024 Tata Curvv ICE Accomplished S 1.2 Revotron Petrol 6MT [2024-2025],"5,663 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 13.78 Lakh
2012 Skoda Rapid 1.5 TDI CR Elegance,"95,822 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 2.79 Lakh
2022 Kia Seltos HTX 1.5 [2020-2021],"62,210 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 10.1 Lakh
2015 Toyota Innova 2.5 VX 8 STR BS-III,"91,014 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.69 Lakh
2020 Kia Seltos HTX Plus 1.5 Diesel [2020-2021],"82,085 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 10.74 Lakh
2022 Hyundai Venue SX Plus 1.0 Turbo DCT,"41,656 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 8.79 Lakh
2017 Jeep Compass Longitude (O) 2.0 Diesel [2017-2020],"95,726 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.93 Lakh
2021 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"36,594 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 8.75 Lakh
2022 Hyundai Creta SX (O) 1.5 Diesel [2020-2022],"38,399 km  |  Diesel  |  Manimajra, Chandigarh",Rs. 15.18 Lakh
2017 Audi A3 35 TFSI Technology,"68,000 km  |  Petrol  |  Sector 55, Chandigarh",Rs. 12.75 Lakh
2014 Toyota Corolla Altis G,"1,00,000 km  |  Diesel  |  Chandigarh",Rs. 5.5 Lakh
2015 Ford Ecosport Trend 1.5 Ti-VCT,"78,100 km  |  Petrol  |  SECTOR- 51, Chandigarh",Rs. 3.5 Lakh
2023 Honda City ZX Petrol CVT [2023-2025],"46,000 km  |  Petrol  |  SECTOR- 27, Chandigarh",Rs. 11 Lakh
2016 Land Rover Discovery Sport HSE 7-Seater,"98,500 km  |  Diesel  |  Chandigarh",Rs. 17.5 Lakh
2019 Volkswagen Ameo Comfortline 1.0L (P),"33,661 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 4.37 Lakh
2017 Renault Duster 85 PS RXZ 4X2 MT Diesel (Opt),"1,00,000 km  |  Diesel  |  Sector 48, Chandigarh",Rs. 5.5 Lakh
2022 Jeep Cherokee Limited (O) 4x4 AT,"55,000 km  |  Petrol  |  Chandigarh",Rs. 45 Lakh
2022 Mercedes-Benz E-Class E 220d Exclusive [2021-2023],"11,000 km  |  Diesel  |  Chandigarh",Rs. 58 Lakh
2021 Maruti Suzuki Vitara Brezza ZXi,"22,000 km  |  Petrol  |  Chandigarh",Rs. 8.3 Lakh
2024 BYD Atto 3 Dynamic [2024-2025],"13,000 km  |  Electric  |  Phase-1, Chandigarh",Rs. 23 Lakh
2015 Skoda Rapid 1.5 TDI CR Style Plus,"1,60,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 4.5 Lakh
2015 Honda Jazz V Diesel,"1,63,000 km  |  Diesel  |  SECTOR- 49, Chandigarh",Rs. 4.5 Lakh
2017 Audi A4 35 TDI Technology,"52,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 22.5 Lakh
2024 Hyundai Creta S 1.5 Diesel,"6,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 16.5 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"57,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 42 Lakh
2019 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"53,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 18 Lakh
2018 Toyota Innova Crysta GX 2.4 AT 7 STR,"80,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 16.75 Lakh
2022 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"51,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 13.9 Lakh
2022 Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],"50,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 16.5 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"58,182 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 40 Lakh
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"13,129 km  |  Diesel  |  Sector-17, Chandigarh",Rs. 98 Lakh
2024 BMW X5 xDrive30d xLine,"17,056 km  |  Diesel  |  Sector-17, Chandigarh",Rs. 82 Lakh
2023 BMW X3 xDrive20d M Sport,"31,464 km  |  Diesel  |  Sector-17, Chandigarh",Rs. 58 Lakh
2021 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"30,817 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 53 Lakh
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"44,692 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 57 Lakh
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"13,500 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 62 Lakh
2023 BMW 3 Series Gran Limousine 320Ld M Sport [2023],"28,485 km  |  Diesel  |  Sector-17, Chandigarh",Rs. 44 Lakh
2024 BMW iX xDrive 50,"17,027 km  |  Electric  |  Sector-17, Chandigarh",Rs. 90 Lakh
2022 Lexus ES 300h Luxury,"35,000 km  |  Hybrid (Electric + Petrol)  |  Industrial Area, Chandigarh",Rs. 47 Lakh
2019 BMW 3-Series 320d Luxury Line,"61,699 km  |  Diesel  |  Sector-17, Chandigarh",Rs. 17 Lakh
2024 BMW X1 sDrive18i M Sport,"17,025 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 47 Lakh
2022 Audi A4 Premium Plus 40 TFSI [2021-2024],"38,176 km  |  Petrol  |  Sector-17, Chandigarh",Rs. 29 Lakh
2023 Lexus ES 300h Luxury,"23,174 km  |  Hybrid (Electric + Petrol)  |  Sector-17, Chandigarh",Rs. 55 Lakh
2023 Mini Cooper SE 3-Door,"8,850 km  |  Electric  |  Sector-17, Chandigarh",Rs. 35 Lakh
2023 BMW iX xDrive 40,"17,993 km  |  Electric  |  Sector-17, Chandigarh",Rs. 76 Lakh
2024 BMW 3-Series 320Ld M Sport [2023],"17,783 km  |  Diesel  |  Sector-17, Chandigarh",Rs. 51 Lakh
2013 Audi A6 2.0 TDI Premium,"94,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 6.75 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT,"30,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 11.95 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT,"14,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 13.75 Lakh
2024 Mahindra Thar LX Hard Top Petrol AT,"11,000 km  |  Petrol  |  Sector-26, Chandigarh",Rs. 13.95 Lakh
2020 Honda City V Petrol,"46,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 7.9 Lakh
2011 Honda City 1.5 V MT,"70,000 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.85 Lakh
2021 Hyundai Verna SX (O) 1.5 VTVT IVT,"23,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 12.29 Lakh
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,"28,000 km  |  Diesel  |  Sector-26, Chandigarh",Rs. 12.95 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"55,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 42 Lakh
2011 Honda City 1.5 V MT,"70,000 km  |  Petrol  |  Manimajra, Chandigarh",Rs. 2.85 Lakh
2020 Honda City V Petrol,"46,000 km  |  Petrol  |  Industrial Area, Chandigarh",Rs. 7.9 Lakh
2017 Audi A4 35 TDI Technology,"52,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 22.5 Lakh
2024 Hyundai Creta S 1.5 Diesel,"6,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 16.5 Lakh
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,"57,000 km  |  Diesel  |  Industrial Area, Chandigarh",Rs. 42 Lakh
